SourceFile,EXIF_BitsPerSample,XMP_BitsPerSample
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2194_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2196.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2196_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2197.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2197_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2199.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2199_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2201.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2201_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2202.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2202_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2203.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2203_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2204.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2205.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2205_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2206.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2206_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2207.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2207_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2208.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2208_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2209.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2209_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2210.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2210_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2212.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2212_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2217.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2217_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2220.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2220_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2221.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2221_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2225.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2225_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2230.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2230_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2231.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2231_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2232.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2232_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2234.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2234_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2235.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2236.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2236_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2240.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2251.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2251_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2252.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2255.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2255_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2261.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2261_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2262.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2263.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2263_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2265.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2270.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2270_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2272.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2275.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2275_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2278.tif,8,8
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2278_verso.tif,8 8 8,"[8, 8, 8]"
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2282.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2282_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2285.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2285_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2290.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2290_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2296.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2298.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2301.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2302.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2302_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2303.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2305_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2314.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2150.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2150_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2153.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2154.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2155.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2155_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2168.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2169.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2169_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2170.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2170_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2171.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2171_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2174.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2177.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2177_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2178_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2179.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2179_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2180_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2183.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2183_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2184.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2184_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2186.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2190.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2190_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2191.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2191_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2192.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2192_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2193.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2193_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2194.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2194_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2196.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2196_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2197.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2197_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2199.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2199_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2201.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2201_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2202.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2202_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2203.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2203_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2204.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2205.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2205_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2206.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2206_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2207.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2207_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2208.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2208_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2209.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2209_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2210.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2210_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2212.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2212_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2217.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2217_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2220.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2220_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2221.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2221_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2225.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2225_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2230.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2230_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2231.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2231_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2232.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2232_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2234.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2234_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2235.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2236.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2236_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2240.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2251.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2251_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2252.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2255.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2255_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2261.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2261_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2262.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2263.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2263_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2265.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2270.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2270_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2272.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2275.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2275_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2278.tif,8,8
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2278_verso.tif,8 8 8,"[8, 8, 8]"
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2282.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2282_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2285.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2285_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2290.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2290_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2296.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2298.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2301.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2302.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2302_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2303.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2305_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Three/66-2314.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Two/2020-1246.tif,8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Two/2020-1732.tif,16,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Two/2020-1744.tif,16,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Two/2020-1926.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Two/2023-142.tif,8 8 8,"[8, 8, 8]"
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Two/2023-149.tif,16,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Two/2023-1742.tif,16,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Two/2023-1743.tif,16,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Two/2023-4391.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Two/2023-86.tif,8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Two/2024-27.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Two/59-72-43.tif,8 8 8,"[8, 8, 8]"
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Two/67-1338.tif,8,8
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Two/67-7850A.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Two/68-1578.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Two/68-1596.tif,8,8
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Two/68-1788.tif,16,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Two/70-1054.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Two/70-1062.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Two/70-3959.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Two/70-3982.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Two/70-570.tif,8,8
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Two/72-1847.tif,8,16
